"N","Time","avg(f)","max(f)","med(f)","min(f)","q1(f)","q3(f)","std(f)","sum(f)"
1,0,55,55,55,55,55,55,0,55
1,0.049,54.988,54.988,54.988,54.988,54.988,54.988,0,54.988
1,0.098,54.977,54.977,54.977,54.977,54.977,54.977,0,54.977
1,0.147,55.01,55.01,55.01,55.01,55.01,55.01,0,55.01
1,0.196,55.003,55.003,55.003,55.003,55.003,55.003,0,55.003
1,0.245,54.996,54.996,54.996,54.996,54.996,54.996,0,54.996
1,0.294,54.988,54.988,54.988,54.988,54.988,54.988,0,54.988
1,0.343,54.98,54.98,54.98,54.98,54.98,54.98,0,54.98
1,0.392,54.973,54.973,54.973,54.973,54.973,54.973,0,54.973
1,0.441,54.963,54.963,54.963,54.963,54.963,54.963,0,54.963
1,0.49,54.955,54.955,54.955,54.955,54.955,54.955,0,54.955
1,0.539,56.947,56.947,56.947,56.947,56.947,56.947,0,56.947
1,0.588,56.756,56.756,56.756,56.756,56.756,56.756,0,56.756
1,0.637,56.588,56.588,56.588,56.588,56.588,56.588,0,56.588
1,0.686,56.439,56.439,56.439,56.439,56.439,56.439,0,56.439
1,0.735,56.307,56.307,56.307,56.307,56.307,56.307,0,56.307
1,0.784,56.172,56.172,56.172,56.172,56.172,56.172,0,56.172
1,0.833,56.062,56.062,56.062,56.062,56.062,56.062,0,56.062
1,0.882,55.964,55.964,55.964,55.964,55.964,55.964,0,55.964
1,0.931,55.875,55.875,55.875,55.875,55.875,55.875,0,55.875
1,0.98,55.8,55.8,55.8,55.8,55.8,55.8,0,55.8
1,1.029,55.733,55.733,55.733,55.733,55.733,55.733,0,55.733
1,1.078,55.673,55.673,55.673,55.673,55.673,55.673,0,55.673
1,1.127,55.619,55.619,55.619,55.619,55.619,55.619,0,55.619
1,1.176,55.4,55.4,55.4,55.4,55.4,55.4,0,55.4
1,1.225,55.399,55.399,55.399,55.399,55.399,55.399,0,55.399
1,1.274,55.396,55.396,55.396,55.396,55.396,55.396,0,55.396
1,1.323,60.51,60.51,60.51,60.51,60.51,60.51,0,60.51
1,1.372,60.035,60.035,60.035,60.035,60.035,60.035,0,60.035
1,1.421,59.616,59.616,59.616,59.616,59.616,59.616,0,59.616
1,1.47,59.245,59.245,59.245,59.245,59.245,59.245,0,59.245
1,1.519,58.916,58.916,58.916,58.916,58.916,58.916,0,58.916
1,1.568,58.592,58.592,58.592,58.592,58.592,58.592,0,58.592
1,1.617,58.317,58.317,58.317,58.317,58.317,58.317,0,58.317
1,1.666,58.076,58.076,58.076,58.076,58.076,58.076,0,58.076
1,1.715,57.62,57.62,57.62,57.62,57.62,57.62,0,57.62
1,1.764,57.491,57.491,57.491,57.491,57.491,57.491,0,57.491
1,1.813,57.373,57.373,57.373,57.373,57.373,57.373,0,57.373
1,1.862,57.264,57.264,57.264,57.264,57.264,57.264,0,57.264
1,1.911,57.165,57.165,57.165,57.165,57.165,57.165,0,57.165
1,1.96,57.081,57.081,57.081,57.081,57.081,57.081,0,57.081
1,2.009,56.993,56.993,56.993,56.993,56.993,56.993,0,56.993
1,2.058,56.912,56.912,56.912,56.912,56.912,56.912,0,56.912
1,2.107,56.791,56.791,56.791,56.791,56.791,56.791,0,56.791
1,2.156,56.708,56.708,56.708,56.708,56.708,56.708,0,56.708
1,2.205,56.637,56.637,56.637,56.637,56.637,56.637,0,56.637
1,2.254,56.575,56.575,56.575,56.575,56.575,56.575,0,56.575
1,2.303,56.522,56.522,56.522,56.522,56.522,56.522,0,56.522
1,2.352,56.475,56.475,56.475,56.475,56.475,56.475,0,56.475
1,2.401,56.434,56.434,56.434,56.434,56.434,56.434,0,56.434
1,2.45,56.398,56.398,56.398,56.398,56.398,56.398,0,56.398
1,2.499,56.375,56.375,56.375,56.375,56.375,56.375,0,56.375
1,2.548,56.341,56.341,56.341,56.341,56.341,56.341,0,56.341
1,2.597,56.311,56.311,56.311,56.311,56.311,56.311,0,56.311
1,2.646,56.285,56.285,56.285,56.285,56.285,56.285,0,56.285
1,2.695,56.26,56.26,56.26,56.26,56.26,56.26,0,56.26
1,2.744,56.22,56.22,56.22,56.22,56.22,56.22,0,56.22
1,2.793,56.203,56.203,56.203,56.203,56.203,56.203,0,56.203
1,2.842,56.188,56.188,56.188,56.188,56.188,56.188,0,56.188
1,2.891,56.137,56.137,56.137,56.137,56.137,56.137,0,56.137
1,2.94,56.137,56.137,56.137,56.137,56.137,56.137,0,56.137
1,2.989,56.134,56.134,56.134,56.134,56.134,56.134,0,56.134
1,3.038,56.129,56.129,56.129,56.129,56.129,56.129,0,56.129
1,3.087,56.121,56.121,56.121,56.121,56.121,56.121,0,56.121
1,3.136,54.513,54.513,54.513,54.513,54.513,54.513,0,54.513
1,3.185,54.944,54.944,54.944,54.944,54.944,54.944,0,54.944
1,3.234,55.301,55.301,55.301,55.301,55.301,55.301,0,55.301
1,3.283,55.598,55.598,55.598,55.598,55.598,55.598,0,55.598
1,3.332,55.842,55.842,55.842,55.842,55.842,55.842,0,55.842
1,3.381,56.042,56.042,56.042,56.042,56.042,56.042,0,56.042
1,3.43,56.205,56.205,56.205,56.205,56.205,56.205,0,56.205
1,3.479,56.338,56.338,56.338,56.338,56.338,56.338,0,56.338
1,3.528,56.446,56.446,56.446,56.446,56.446,56.446,0,56.446
1,3.577,56.532,56.532,56.532,56.532,56.532,56.532,0,56.532
1,3.626,56.601,56.601,56.601,56.601,56.601,56.601,0,56.601
1,3.675,56.654,56.654,56.654,56.654,56.654,56.654,0,56.654
1,3.724,56.695,56.695,56.695,56.695,56.695,56.695,0,56.695
1,3.773,56.815,56.815,56.815,56.815,56.815,56.815,0,56.815
1,3.822,56.802,56.802,56.802,56.802,56.802,56.802,0,56.802
1,3.871,56.79,56.79,56.79,56.79,56.79,56.79,0,56.79
1,3.92,56.785,56.785,56.785,56.785,56.785,56.785,0,56.785
1,3.969,56.774,56.774,56.774,56.774,56.774,56.774,0,56.774
1,4.018,56.763,56.763,56.763,56.763,56.763,56.763,0,56.763
1,4.067,56.752,56.752,56.752,56.752,56.752,56.752,0,56.752
1,4.116,56.741,56.741,56.741,56.741,56.741,56.741,0,56.741
1,4.165,56.719,56.719,56.719,56.719,56.719,56.719,0,56.719
1,4.214,56.709,56.709,56.709,56.709,56.709,56.709,0,56.709
1,4.263,56.699,56.699,56.699,56.699,56.699,56.699,0,56.699
1,4.312,56.789,56.789,56.789,56.789,56.789,56.789,0,56.789
1,4.361,56.738,56.738,56.738,56.738,56.738,56.738,0,56.738
1,4.41,56.694,56.694,56.694,56.694,56.694,56.694,0,56.694
1,4.459,56.655,56.655,56.655,56.655,56.655,56.655,0,56.655
1,4.508,56.62,56.62,56.62,56.62,56.62,56.62,0,56.62
1,4.557,56.706,56.706,56.706,56.706,56.706,56.706,0,56.706
1,4.606,56.644,56.644,56.644,56.644,56.644,56.644,0,56.644
1,4.655,56.592,56.592,56.592,56.592,56.592,56.592,0,56.592
1,4.704,56.558,56.558,56.558,56.558,56.558,56.558,0,56.558
1,4.753,56.518,56.518,56.518,56.518,56.518,56.518,0,56.518
1,4.802,56.484,56.484,56.484,56.484,56.484,56.484,0,56.484
1,4.851,56.454,56.454,56.454,56.454,56.454,56.454,0,56.454
1,4.9,56.429,56.429,56.429,56.429,56.429,56.429,0,56.429
1,4.949,56.425,56.425,56.425,56.425,56.425,56.425,0,56.425
1,4.998,56.4,56.4,56.4,56.4,56.4,56.4,0,56.4
1,5.047,56.379,56.379,56.379,56.379,56.379,56.379,0,56.379
1,5.096,56.432,56.432,56.432,56.432,56.432,56.432,0,56.432
1,5.145,56.388,56.388,56.388,56.388,56.388,56.388,0,56.388
1,5.194,56.355,56.355,56.355,56.355,56.355,56.355,0,56.355
1,5.243,56.33,56.33,56.33,56.33,56.33,56.33,0,56.33
1,5.292,56.312,56.312,56.312,56.312,56.312,56.312,0,56.312
1,5.341,56.3,56.3,56.3,56.3,56.3,56.3,0,56.3
1,5.39,56.286,56.286,56.286,56.286,56.286,56.286,0,56.286
1,5.439,56.278,56.278,56.278,56.278,56.278,56.278,0,56.278
1,5.488,56.288,56.288,56.288,56.288,56.288,56.288,0,56.288
1,5.537,56.279,56.279,56.279,56.279,56.279,56.279,0,56.279
1,5.586,56.275,56.275,56.275,56.275,56.275,56.275,0,56.275
1,5.635,56.273,56.273,56.273,56.273,56.273,56.273,0,56.273
1,5.684,56.274,56.274,56.274,56.274,56.274,56.274,0,56.274
1,5.733,70.875,70.875,70.875,70.875,70.875,70.875,0,70.875
1,5.782,69.549,69.549,69.549,69.549,69.549,69.549,0,69.549
1,5.831,68.385,68.385,68.385,68.385,68.385,68.385,0,68.385
1,5.88,67.353,67.353,67.353,67.353,67.353,67.353,0,67.353
1,5.929,66.448,66.448,66.448,66.448,66.448,66.448,0,66.448
1,5.978,65.649,65.649,65.649,65.649,65.649,65.649,0,65.649
1,6.027,64.94,64.94,64.94,64.94,64.94,64.94,0,64.94
1,6.076,64.31,64.31,64.31,64.31,64.31,64.31,0,64.31
1,6.125,65.307,65.307,65.307,65.307,65.307,65.307,0,65.307
1,6.174,64.932,64.932,64.932,64.932,64.932,64.932,0,64.932
1,6.223,64.568,64.568,64.568,64.568,64.568,64.568,0,64.568
1,6.272,64.14,64.14,64.14,64.14,64.14,64.14,0,64.14
1,6.321,63.778,63.778,63.778,63.778,63.778,63.778,0,63.778
1,6.37,63.444,63.444,63.444,63.444,63.444,63.444,0,63.444
1,6.419,63.134,63.134,63.134,63.134,63.134,63.134,0,63.134
1,6.468,62.848,62.848,62.848,62.848,62.848,62.848,0,62.848
1,6.517,76.925,76.925,76.925,76.925,76.925,76.925,0,76.925
1,6.566,75.376,75.376,75.376,75.376,75.376,75.376,0,75.376
1,6.615,74.002,74.002,74.002,74.002,74.002,74.002,0,74.002
1,6.664,72.774,72.774,72.774,72.774,72.774,72.774,0,72.774
1,6.713,71.684,71.684,71.684,71.684,71.684,71.684,0,71.684
1,6.762,70.71,70.71,70.71,70.71,70.71,70.71,0,70.71
1,6.811,69.838,69.838,69.838,69.838,69.838,69.838,0,69.838
1,6.86,69.054,69.054,69.054,69.054,69.054,69.054,0,69.054
1,6.909,68.335,68.335,68.335,68.335,68.335,68.335,0,68.335
1,6.958,67.701,67.701,67.701,67.701,67.701,67.701,0,67.701
1,7.007,67.125,67.125,67.125,67.125,67.125,67.125,0,67.125
1,7.056,66.601,66.601,66.601,66.601,66.601,66.601,0,66.601
1,7.105,66.122,66.122,66.122,66.122,66.122,66.122,0,66.122
1,7.154,65.673,65.673,65.673,65.673,65.673,65.673,0,65.673
1,7.203,65.274,65.274,65.274,65.274,65.274,65.274,0,65.274
1,7.252,64.906,64.906,64.906,64.906,64.906,64.906,0,64.906
1,7.301,84.62,84.62,84.62,84.62,84.62,84.62,0,84.62
1,7.35,82.493,82.493,82.493,82.493,82.493,82.493,0,82.493
1,7.399,80.602,80.602,80.602,80.602,80.602,80.602,0,80.602
1,7.448,78.916,78.916,78.916,78.916,78.916,78.916,0,78.916
1,7.497,77.408,77.408,77.408,77.408,77.408,77.408,0,77.408
1,7.546,76.056,76.056,76.056,76.056,76.056,76.056,0,76.056
1,7.595,74.839,74.839,74.839,74.839,74.839,74.839,0,74.839
1,7.644,73.742,73.742,73.742,73.742,73.742,73.742,0,73.742
1,7.693,72.171,72.171,72.171,72.171,72.171,72.171,0,72.171
1,7.742,71.367,71.367,71.367,71.367,71.367,71.367,0,71.367
1,7.791,70.636,70.636,70.636,70.636,70.636,70.636,0,70.636
1,7.84,69.971,69.971,69.971,69.971,69.971,69.971,0,69.971
1,7.889,69.364,69.364,69.364,69.364,69.364,69.364,0,69.364
1,7.938,68.852,68.852,68.852,68.852,68.852,68.852,0,68.852
1,7.987,68.326,68.326,68.326,68.326,68.326,68.326,0,68.326
1,8.036,67.844,67.844,67.844,67.844,67.844,67.844,0,67.844
1,8.085,87.082,87.082,87.082,87.082,87.082,87.082,0,87.082
1,8.134,84.894,84.894,84.894,84.894,84.894,84.894,0,84.894
1,8.183,82.947,82.947,82.947,82.947,82.947,82.947,0,82.947
1,8.232,81.21,81.21,81.21,81.21,81.21,81.21,0,81.21
1,8.281,79.654,79.654,79.654,79.654,79.654,79.654,0,79.654
1,8.33,77.928,77.928,77.928,77.928,77.928,77.928,0,77.928
1,8.379,76.71,76.71,76.71,76.71,76.71,76.71,0,76.71
1,8.428,75.611,75.611,75.611,75.611,75.611,75.611,0,75.611
1,8.477,74.047,74.047,74.047,74.047,74.047,74.047,0,74.047
1,8.526,73.228,73.228,73.228,73.228,73.228,73.228,0,73.228
1,8.575,72.484,72.484,72.484,72.484,72.484,72.484,0,72.484
1,8.624,71.808,71.808,71.808,71.808,71.808,71.808,0,71.808
1,8.673,71.191,71.191,71.191,71.191,71.191,71.191,0,71.191
1,8.722,70.678,70.678,70.678,70.678,70.678,70.678,0,70.678
1,8.771,70.154,70.154,70.154,70.154,70.154,70.154,0,70.154
1,8.82,69.674,69.674,69.674,69.674,69.674,69.674,0,69.674
1,8.869,68.909,68.909,68.909,68.909,68.909,68.909,0,68.909
1,8.918,68.537,68.537,68.537,68.537,68.537,68.537,0,68.537
1,8.967,68.195,68.195,68.195,68.195,68.195,68.195,0,68.195
1,9.016,67.881,67.881,67.881,67.881,67.881,67.881,0,67.881
1,9.065,67.59,67.59,67.59,67.59,67.59,67.59,0,67.59
1,9.114,86.515,86.515,86.515,86.515,86.515,86.515,0,86.515
1,9.163,84.527,84.527,84.527,84.527,84.527,84.527,0,84.527
1,9.212,82.761,82.761,82.761,82.761,82.761,82.761,0,82.761
1,9.261,81.275,81.275,81.275,81.275,81.275,81.275,0,81.275
1,9.31,79.827,79.827,79.827,79.827,79.827,79.827,0,79.827
1,9.359,78.537,78.537,78.537,78.537,78.537,78.537,0,78.537
1,9.408,77.382,77.382,77.382,77.382,77.382,77.382,0,77.382
1,9.457,76.345,76.345,76.345,76.345,76.345,76.345,0,76.345
1,9.506,74.858,74.858,74.858,74.858,74.858,74.858,0,74.858
1,9.555,74.102,74.102,74.102,74.102,74.102,74.102,0,74.102
1,9.604,73.417,73.417,73.417,73.417,73.417,73.417,0,73.417
1,9.653,72.827,72.827,72.827,72.827,72.827,72.827,0,72.827
1,9.702,72.257,72.257,72.257,72.257,72.257,72.257,0,72.257
1,9.751,71.732,71.732,71.732,71.732,71.732,71.732,0,71.732
1,9.8,71.247,71.247,71.247,71.247,71.247,71.247,0,71.247
1,9.849,70.799,70.799,70.799,70.799,70.799,70.799,0,70.799
1,9.898,89.208,89.208,89.208,89.208,89.208,89.208,0,89.208
1,9.947,87.123,87.123,87.123,87.123,87.123,87.123,0,87.123
1,9.996,85.265,85.265,85.265,85.265,85.265,85.265,0,85.265
1,10.045,83.616,83.616,83.616,83.616,83.616,83.616,0,83.616
1,10.094,82.121,82.121,82.121,82.121,82.121,82.121,0,82.121
1,10.143,80.777,80.777,80.777,80.777,80.777,80.777,0,80.777
1,10.192,79.566,79.566,79.566,79.566,79.566,79.566,0,79.566
1,10.241,78.471,78.471,78.471,78.471,78.471,78.471,0,78.471
1,10.29,77.477,77.477,77.477,77.477,77.477,77.477,0,77.477
1,10.339,76.572,76.572,76.572,76.572,76.572,76.572,0,76.572
1,10.388,75.748,75.748,75.748,75.748,75.748,75.748,0,75.748
1,10.437,74.994,74.994,74.994,74.994,74.994,74.994,0,74.994
1,10.486,74.304,74.304,74.304,74.304,74.304,74.304,0,74.304
1,10.535,73.665,73.665,73.665,73.665,73.665,73.665,0,73.665
1,10.584,73.083,73.083,73.083,73.083,73.083,73.083,0,73.083
1,10.633,72.546,72.546,72.546,72.546,72.546,72.546,0,72.546
1,10.682,72.056,72.056,72.056,72.056,72.056,72.056,0,72.056
1,10.731,71.592,71.592,71.592,71.592,71.592,71.592,0,71.592
1,10.78,71.16,71.16,71.16,71.16,71.16,71.16,0,71.16
1,10.829,70.757,70.757,70.757,70.757,70.757,70.757,0,70.757
1,10.878,70.381,70.381,70.381,70.381,70.381,70.381,0,70.381
1,10.927,69.608,69.608,69.608,69.608,69.608,69.608,0,69.608
1,10.976,69.376,69.376,69.376,69.376,69.376,69.376,0,69.376
1,11.025,69.15,69.15,69.15,69.15,69.15,69.15,0,69.15
1,11.074,81.74,81.74,81.74,81.74,81.74,81.74,0,81.74
1,11.123,80.359,80.359,80.359,80.359,80.359,80.359,0,80.359
1,11.172,79.128,79.128,79.128,79.128,79.128,79.128,0,79.128
1,11.221,78.027,78.027,78.027,78.027,78.027,78.027,0,78.027
1,11.27,77.038,77.038,77.038,77.038,77.038,77.038,0,77.038
1,11.319,76.151,76.151,76.151,76.151,76.151,76.151,0,76.151
1,11.368,75.284,75.284,75.284,75.284,75.284,75.284,0,75.284
1,11.417,74.514,74.514,74.514,74.514,74.514,74.514,0,74.514
1,11.466,73.796,73.796,73.796,73.796,73.796,73.796,0,73.796
1,11.515,73.19,73.19,73.19,73.19,73.19,73.19,0,73.19
1,11.564,72.643,72.643,72.643,72.643,72.643,72.643,0,72.643
1,11.613,72.147,72.147,72.147,72.147,72.147,72.147,0,72.147
1,11.662,71.695,71.695,71.695,71.695,71.695,71.695,0,71.695
1,11.711,71.234,71.234,71.234,71.234,71.234,71.234,0,71.234
1,11.76,70.87,70.87,70.87,70.87,70.87,70.87,0,70.87
1,11.809,70.533,70.533,70.533,70.533,70.533,70.533,0,70.533
1,11.858,68.53,68.53,68.53,68.53,68.53,68.53,0,68.53
1,11.907,68.703,68.703,68.703,68.703,68.703,68.703,0,68.703
1,11.956,68.819,68.819,68.819,68.819,68.819,68.819,0,68.819
1,12.005,68.888,68.888,68.888,68.888,68.888,68.888,0,68.888
1,12.054,68.918,68.918,68.918,68.918,68.918,68.918,0,68.918
1,12.103,68.918,68.918,68.918,68.918,68.918,68.918,0,68.918
1,12.152,68.891,68.891,68.891,68.891,68.891,68.891,0,68.891
1,12.201,68.844,68.844,68.844,68.844,68.844,68.844,0,68.844
1,12.25,68.329,68.329,68.329,68.329,68.329,68.329,0,68.329
1,12.299,68.366,68.366,68.366,68.366,68.366,68.366,0,68.366
1,12.348,68.374,68.374,68.374,68.374,68.374,68.374,0,68.374
1,12.397,68.359,68.359,68.359,68.359,68.359,68.359,0,68.359
1,12.446,68.325,68.325,68.325,68.325,68.325,68.325,0,68.325
1,12.495,68.277,68.277,68.277,68.277,68.277,68.277,0,68.277
1,12.544,68.214,68.214,68.214,68.214,68.214,68.214,0,68.214
1,12.593,68.143,68.143,68.143,68.143,68.143,68.143,0,68.143
1,12.642,68.083,68.083,68.083,68.083,68.083,68.083,0,68.083
1,12.691,67.998,67.998,67.998,67.998,67.998,67.998,0,67.998
1,12.74,67.909,67.909,67.909,67.909,67.909,67.909,0,67.909
1,12.789,67.818,67.818,67.818,67.818,67.818,67.818,0,67.818
1,12.838,67.725,67.725,67.725,67.725,67.725,67.725,0,67.725
1,12.887,65.969,65.969,65.969,65.969,65.969,65.969,0,65.969
1,12.936,66.333,66.333,66.333,66.333,66.333,66.333,0,66.333
1,12.985,66.623,66.623,66.623,66.623,66.623,66.623,0,66.623
1,13.034,66.849,66.849,66.849,66.849,66.849,66.849,0,66.849
1,13.083,67.024,67.024,67.024,67.024,67.024,67.024,0,67.024
1,13.132,67.155,67.155,67.155,67.155,67.155,67.155,0,67.155
1,13.181,67.249,67.249,67.249,67.249,67.249,67.249,0,67.249
1,13.23,67.314,67.314,67.314,67.314,67.314,67.314,0,67.314
1,13.279,67.359,67.359,67.359,67.359,67.359,67.359,0,67.359
1,13.328,67.375,67.375,67.375,67.375,67.375,67.375,0,67.375
1,13.377,67.374,67.374,67.374,67.374,67.374,67.374,0,67.374
1,13.426,67.38,67.38,67.38,67.38,67.38,67.38,0,67.38
1,13.475,67.342,67.342,67.342,67.342,67.342,67.342,0,67.342
1,13.524,67.297,67.297,67.297,67.297,67.297,67.297,0,67.297
1,13.573,67.248,67.248,67.248,67.248,67.248,67.248,0,67.248
1,13.622,67.194,67.194,67.194,67.194,67.194,67.194,0,67.194
1,13.671,67.135,67.135,67.135,67.135,67.135,67.135,0,67.135
1,13.72,67.077,67.077,67.077,67.077,67.077,67.077,0,67.077
1,13.769,67.015,67.015,67.015,67.015,67.015,67.015,0,67.015
1,13.818,66.952,66.952,66.952,66.952,66.952,66.952,0,66.952
1,13.867,66.887,66.887,66.887,66.887,66.887,66.887,0,66.887
1,13.916,66.82,66.82,66.82,66.82,66.82,66.82,0,66.82
1,13.965,66.752,66.752,66.752,66.752,66.752,66.752,0,66.752
1,14.014,66.684,66.684,66.684,66.684,66.684,66.684,0,66.684
1,14.063,66.615,66.615,66.615,66.615,66.615,66.615,0,66.615
1,14.112,66.546,66.546,66.546,66.546,66.546,66.546,0,66.546
1,14.161,66.477,66.477,66.477,66.477,66.477,66.477,0,66.477
1,14.21,66.41,66.41,66.41,66.41,66.41,66.41,0,66.41
1,14.259,66.344,66.344,66.344,66.344,66.344,66.344,0,66.344
1,14.308,66.353,66.353,66.353,66.353,66.353,66.353,0,66.353
1,14.357,66.261,66.261,66.261,66.261,66.261,66.261,0,66.261
1,14.406,66.178,66.178,66.178,66.178,66.178,66.178,0,66.178
1,14.455,66.111,66.111,66.111,66.111,66.111,66.111,0,66.111
1,14.504,66.038,66.038,66.038,66.038,66.038,66.038,0,66.038
1,14.553,65.97,65.97,65.97,65.97,65.97,65.97,0,65.97
1,14.602,65.906,65.906,65.906,65.906,65.906,65.906,0,65.906
1,14.651,65.846,65.846,65.846,65.846,65.846,65.846,0,65.846
1,14.7,65.787,65.787,65.787,65.787,65.787,65.787,0,65.787
1,14.749,65.732,65.732,65.732,65.732,65.732,65.732,0,65.732
1,14.798,65.681,65.681,65.681,65.681,65.681,65.681,0,65.681
1,14.847,65.618,65.618,65.618,65.618,65.618,65.618,0,65.618
1,14.896,65.576,65.576,65.576,65.576,65.576,65.576,0,65.576
1,14.945,65.533,65.533,65.533,65.533,65.533,65.533,0,65.533
1,14.994,65.49,65.49,65.49,65.49,65.49,65.49,0,65.49
1,15.043,65.448,65.448,65.448,65.448,65.448,65.448,0,65.448
1,15.092,65.433,65.433,65.433,65.433,65.433,65.433,0,65.433
1,15.141,65.389,65.389,65.389,65.389,65.389,65.389,0,65.389
1,15.19,65.344,65.344,65.344,65.344,65.344,65.344,0,65.344
1,15.239,76.698,76.698,76.698,76.698,76.698,76.698,0,76.698
1,15.288,75.612,75.612,75.612,75.612,75.612,75.612,0,75.612
1,15.337,74.653,74.653,74.653,74.653,74.653,74.653,0,74.653
1,15.386,73.804,73.804,73.804,73.804,73.804,73.804,0,73.804
1,15.435,73.05,73.05,73.05,73.05,73.05,73.05,0,73.05
1,15.484,72.331,72.331,72.331,72.331,72.331,72.331,0,72.331
1,15.533,71.705,71.705,71.705,71.705,71.705,71.705,0,71.705
1,15.582,71.152,71.152,71.152,71.152,71.152,71.152,0,71.152
1,15.631,70.653,70.653,70.653,70.653,70.653,70.653,0,70.653
1,15.68,70.219,70.219,70.219,70.219,70.219,70.219,0,70.219
1,15.729,69.83,69.83,69.83,69.83,69.83,69.83,0,69.83
1,15.778,69.481,69.481,69.481,69.481,69.481,69.481,0,69.481
1,15.827,69.167,69.167,69.167,69.167,69.167,69.167,0,69.167
1,15.876,68.879,68.879,68.879,68.879,68.879,68.879,0,68.879
1,15.925,68.619,68.619,68.619,68.619,68.619,68.619,0,68.619
1,15.974,68.385,68.385,68.385,68.385,68.385,68.385,0,68.385
1,16.023,68.126,68.126,68.126,68.126,68.126,68.126,0,68.126
1,16.072,67.902,67.902,67.902,67.902,67.902,67.902,0,67.902
1,16.121,67.706,67.706,67.706,67.706,67.706,67.706,0,67.706
1,16.17,67.532,67.532,67.532,67.532,67.532,67.532,0,67.532
1,16.219,67.378,67.378,67.378,67.378,67.378,67.378,0,67.378
1,16.268,78.296,78.296,78.296,78.296,78.296,78.296,0,78.296
1,16.317,77.163,77.163,77.163,77.163,77.163,77.163,0,77.163
1,16.366,76.164,76.164,76.164,76.164,76.164,76.164,0,76.164
