"N","Time","avg(f)","max(f)","med(f)","min(f)","q1(f)","q3(f)","std(f)","sum(f)"
1,32.732,77.594,77.594,77.594,77.594,77.594,77.594,0,77.594
1,32.781,77.126,77.126,77.126,77.126,77.126,77.126,0,77.126
1,32.83,76.729,76.729,76.729,76.729,76.729,76.729,0,76.729
1,32.879,76.371,76.371,76.371,76.371,76.371,76.371,0,76.371
1,32.928,75.814,75.814,75.814,75.814,75.814,75.814,0,75.814
1,32.977,75.554,75.554,75.554,75.554,75.554,75.554,0,75.554
1,33.026,75.319,75.319,75.319,75.319,75.319,75.319,0,75.319
1,33.075,75.106,75.106,75.106,75.106,75.106,75.106,0,75.106
1,33.124,74.912,74.912,74.912,74.912,74.912,74.912,0,74.912
1,33.173,74.745,74.745,74.745,74.745,74.745,74.745,0,74.745
1,33.222,74.577,74.577,74.577,74.577,74.577,74.577,0,74.577
1,33.271,74.423,74.423,74.423,74.423,74.423,74.423,0,74.423
1,33.32,74.285,74.285,74.285,74.285,74.285,74.285,0,74.285
1,33.369,74.153,74.153,74.153,74.153,74.153,74.153,0,74.153
1,33.418,74.032,74.032,74.032,74.032,74.032,74.032,0,74.032
1,33.467,73.92,73.92,73.92,73.92,73.92,73.92,0,73.92
1,33.516,73.817,73.817,73.817,73.817,73.817,73.817,0,73.817
1,33.565,81.161,81.161,81.161,81.161,81.161,81.161,0,81.161
1,33.614,80.4,80.4,80.4,80.4,80.4,80.4,0,80.4
1,33.663,79.724,79.724,79.724,79.724,79.724,79.724,0,79.724
1,33.712,79.135,79.135,79.135,79.135,79.135,79.135,0,79.135
1,33.761,78.592,78.592,78.592,78.592,78.592,78.592,0,78.592
1,33.81,78.107,78.107,78.107,78.107,78.107,78.107,0,78.107
1,33.859,77.671,77.671,77.671,77.671,77.671,77.671,0,77.671
1,33.908,77.279,77.279,77.279,77.279,77.279,77.279,0,77.279
1,33.957,76.715,76.715,76.715,76.715,76.715,76.715,0,76.715
1,34.006,76.429,76.429,76.429,76.429,76.429,76.429,0,76.429
1,34.055,76.169,76.169,76.169,76.169,76.169,76.169,0,76.169
1,34.104,75.946,75.946,75.946,75.946,75.946,75.946,0,75.946
1,34.153,75.729,75.729,75.729,75.729,75.729,75.729,0,75.729
1,34.202,75.53,75.53,75.53,75.53,75.53,75.53,0,75.53
1,34.251,75.346,75.346,75.346,75.346,75.346,75.346,0,75.346
1,34.3,75.176,75.176,75.176,75.176,75.176,75.176,0,75.176
1,34.349,82.086,82.086,82.086,82.086,82.086,82.086,0,82.086
1,34.398,81.301,81.301,81.301,81.301,81.301,81.301,0,81.301
1,34.447,80.602,80.602,80.602,80.602,80.602,80.602,0,80.602
1,34.496,79.99,79.99,79.99,79.99,79.99,79.99,0,79.99
1,34.545,79.424,79.424,79.424,79.424,79.424,79.424,0,79.424
1,34.594,78.916,78.916,78.916,78.916,78.916,78.916,0,78.916
1,34.643,78.459,78.459,78.459,78.459,78.459,78.459,0,78.459
1,34.692,78.047,78.047,78.047,78.047,78.047,78.047,0,78.047
1,34.741,77.465,77.465,77.465,77.465,77.465,77.465,0,77.465
1,34.79,77.156,77.156,77.156,77.156,77.156,77.156,0,77.156
1,34.839,76.876,76.876,76.876,76.876,76.876,76.876,0,76.876
1,34.888,76.62,76.62,76.62,76.62,76.62,76.62,0,76.62
1,34.937,76.386,76.386,76.386,76.386,76.386,76.386,0,76.386
1,34.986,76.171,76.171,76.171,76.171,76.171,76.171,0,76.171
1,35.035,75.974,75.974,75.974,75.974,75.974,75.974,0,75.974
1,35.084,75.792,75.792,75.792,75.792,75.792,75.792,0,75.792
1,35.133,76.133,76.133,76.133,76.133,76.133,76.133,0,76.133
1,35.182,76.017,76.017,76.017,76.017,76.017,76.017,0,76.017
1,35.231,75.9,75.9,75.9,75.9,75.9,75.9,0,75.9
1,35.28,75.783,75.783,75.783,75.783,75.783,75.783,0,75.783
1,35.329,75.667,75.667,75.667,75.667,75.667,75.667,0,75.667
1,35.378,75.558,75.558,75.558,75.558,75.558,75.558,0,75.558
1,35.427,75.445,75.445,75.445,75.445,75.445,75.445,0,75.445
1,35.476,75.335,75.335,75.335,75.335,75.335,75.335,0,75.335
1,35.525,79.797,79.797,79.797,79.797,79.797,79.797,0,79.797
1,35.574,79.279,79.279,79.279,79.279,79.279,79.279,0,79.279
1,35.623,78.816,78.816,78.816,78.816,78.816,78.816,0,78.816
1,35.672,78.401,78.401,78.401,78.401,78.401,78.401,0,78.401
1,35.721,78.027,78.027,78.027,78.027,78.027,78.027,0,78.027
1,35.77,77.665,77.665,77.665,77.665,77.665,77.665,0,77.665
1,35.819,77.351,77.351,77.351,77.351,77.351,77.351,0,77.351
1,35.868,77.068,77.068,77.068,77.068,77.068,77.068,0,77.068
1,35.917,76.808,76.808,76.808,76.808,76.808,76.808,0,76.808
1,35.966,76.579,76.579,76.579,76.579,76.579,76.579,0,76.579
1,36.015,76.369,76.369,76.369,76.369,76.369,76.369,0,76.369
1,36.064,76.177,76.177,76.177,76.177,76.177,76.177,0,76.177
1,36.113,76.001,76.001,76.001,76.001,76.001,76.001,0,76.001
1,36.162,75.69,75.69,75.69,75.69,75.69,75.69,0,75.69
1,36.211,75.576,75.576,75.576,75.576,75.576,75.576,0,75.576
1,36.26,75.467,75.467,75.467,75.467,75.467,75.467,0,75.467
1,36.309,79.667,79.667,79.667,79.667,79.667,79.667,0,79.667
1,36.358,79.176,79.176,79.176,79.176,79.176,79.176,0,79.176
1,36.407,78.737,78.737,78.737,78.737,78.737,78.737,0,78.737
1,36.456,78.344,78.344,78.344,78.344,78.344,78.344,0,78.344
1,36.505,77.991,77.991,77.991,77.991,77.991,77.991,0,77.991
1,36.554,77.65,77.65,77.65,77.65,77.65,77.65,0,77.65
1,36.603,77.352,77.352,77.352,77.352,77.352,77.352,0,77.352
1,36.652,77.085,77.085,77.085,77.085,77.085,77.085,0,77.085
1,36.701,76.703,76.703,76.703,76.703,76.703,76.703,0,76.703
1,36.75,76.519,76.519,76.519,76.519,76.519,76.519,0,76.519
1,36.799,76.349,76.349,76.349,76.349,76.349,76.349,0,76.349
1,36.848,76.192,76.192,76.192,76.192,76.192,76.192,0,76.192
1,36.897,76.046,76.046,76.046,76.046,76.046,76.046,0,76.046
1,36.946,75.911,75.911,75.911,75.911,75.911,75.911,0,75.911
1,36.995,75.784,75.784,75.784,75.784,75.784,75.784,0,75.784
1,37.044,75.666,75.666,75.666,75.666,75.666,75.666,0,75.666
1,37.093,75.532,75.532,75.532,75.532,75.532,75.532,0,75.532
1,37.142,75.42,75.42,75.42,75.42,75.42,75.42,0,75.42
1,37.191,75.318,75.318,75.318,75.318,75.318,75.318,0,75.318
1,37.24,75.225,75.225,75.225,75.225,75.225,75.225,0,75.225
1,37.289,75.138,75.138,75.138,75.138,75.138,75.138,0,75.138
1,37.338,79.013,79.013,79.013,79.013,79.013,79.013,0,79.013
1,37.387,78.576,78.576,78.576,78.576,78.576,78.576,0,78.576
1,37.436,78.188,78.188,78.188,78.188,78.188,78.188,0,78.188
1,37.485,77.71,77.71,77.71,77.71,77.71,77.71,0,77.71
1,37.534,77.432,77.432,77.432,77.432,77.432,77.432,0,77.432
1,37.583,77.181,77.181,77.181,77.181,77.181,77.181,0,77.181
1,37.632,76.954,76.954,76.954,76.954,76.954,76.954,0,76.954
1,37.681,76.746,76.746,76.746,76.746,76.746,76.746,0,76.746
1,37.73,76.552,76.552,76.552,76.552,76.552,76.552,0,76.552
1,37.779,76.38,76.38,76.38,76.38,76.38,76.38,0,76.38
1,37.828,76.221,76.221,76.221,76.221,76.221,76.221,0,76.221
1,37.877,76.063,76.063,76.063,76.063,76.063,76.063,0,76.063
1,37.926,75.932,75.932,75.932,75.932,75.932,75.932,0,75.932
1,37.975,75.81,75.81,75.81,75.81,75.81,75.81,0,75.81
1,38.024,75.696,75.696,75.696,75.696,75.696,75.696,0,75.696
1,38.073,75.589,75.589,75.589,75.589,75.589,75.589,0,75.589
1,38.122,74.994,74.994,74.994,74.994,74.994,74.994,0,74.994
1,38.171,75.035,75.035,75.035,75.035,75.035,75.035,0,75.035
1,38.22,75.059,75.059,75.059,75.059,75.059,75.059,0,75.059
1,38.269,75.07,75.07,75.07,75.07,75.07,75.07,0,75.07
1,38.318,75.068,75.068,75.068,75.068,75.068,75.068,0,75.068
1,38.367,75.057,75.057,75.057,75.057,75.057,75.057,0,75.057
1,38.416,75.039,75.039,75.039,75.039,75.039,75.039,0,75.039
1,38.465,75.015,75.015,75.015,75.015,75.015,75.015,0,75.015
1,38.514,74.984,74.984,74.984,74.984,74.984,74.984,0,74.984
1,38.563,74.956,74.956,74.956,74.956,74.956,74.956,0,74.956
1,38.612,74.924,74.924,74.924,74.924,74.924,74.924,0,74.924
1,38.661,74.89,74.89,74.89,74.89,74.89,74.89,0,74.89
1,38.71,74.854,74.854,74.854,74.854,74.854,74.854,0,74.854
1,38.759,74.838,74.838,74.838,74.838,74.838,74.838,0,74.838
1,38.808,74.79,74.79,74.79,74.79,74.79,74.79,0,74.79
1,38.857,74.743,74.743,74.743,74.743,74.743,74.743,0,74.743
1,38.906,74.701,74.701,74.701,74.701,74.701,74.701,0,74.701
1,38.955,74.656,74.656,74.656,74.656,74.656,74.656,0,74.656
1,39.004,74.611,74.611,74.611,74.611,74.611,74.611,0,74.611
1,39.053,74.568,74.568,74.568,74.568,74.568,74.568,0,74.568
1,39.102,74.526,74.526,74.526,74.526,74.526,74.526,0,74.526
1,39.151,74.482,74.482,74.482,74.482,74.482,74.482,0,74.482
1,39.2,74.442,74.442,74.442,74.442,74.442,74.442,0,74.442
1,39.249,74.403,74.403,74.403,74.403,74.403,74.403,0,74.403
1,39.298,74.387,74.387,74.387,74.387,74.387,74.387,0,74.387
1,39.347,74.341,74.341,74.341,74.341,74.341,74.341,0,74.341
1,39.396,74.297,74.297,74.297,74.297,74.297,74.297,0,74.297
1,39.445,74.255,74.255,74.255,74.255,74.255,74.255,0,74.255
1,39.494,74.214,74.214,74.214,74.214,74.214,74.214,0,74.214
1,39.543,74.206,74.206,74.206,74.206,74.206,74.206,0,74.206
1,39.592,74.159,74.159,74.159,74.159,74.159,74.159,0,74.159
1,39.641,74.114,74.114,74.114,74.114,74.114,74.114,0,74.114
1,39.69,74.075,74.075,74.075,74.075,74.075,74.075,0,74.075
1,39.739,74.036,74.036,74.036,74.036,74.036,74.036,0,74.036
1,39.788,73.999,73.999,73.999,73.999,73.999,73.999,0,73.999
1,39.837,73.964,73.964,73.964,73.964,73.964,73.964,0,73.964
1,39.886,73.931,73.931,73.931,73.931,73.931,73.931,0,73.931
1,39.935,73.904,73.904,73.904,73.904,73.904,73.904,0,73.904
1,39.984,73.872,73.872,73.872,73.872,73.872,73.872,0,73.872
1,40.033,73.842,73.842,73.842,73.842,73.842,73.842,0,73.842
1,40.082,73.83,73.83,73.83,73.83,73.83,73.83,0,73.83
1,40.131,73.796,73.796,73.796,73.796,73.796,73.796,0,73.796
1,40.18,73.765,73.765,73.765,73.765,73.765,73.765,0,73.765
1,40.229,73.737,73.737,73.737,73.737,73.737,73.737,0,73.737
1,40.278,73.71,73.71,73.71,73.71,73.71,73.71,0,73.71
1,40.327,73.685,73.685,73.685,73.685,73.685,73.685,0,73.685
1,40.376,73.661,73.661,73.661,73.661,73.661,73.661,0,73.661
1,40.425,73.638,73.638,73.638,73.638,73.638,73.638,0,73.638
1,40.474,73.621,73.621,73.621,73.621,73.621,73.621,0,73.621
1,40.523,73.598,73.598,73.598,73.598,73.598,73.598,0,73.598
1,40.572,73.576,73.576,73.576,73.576,73.576,73.576,0,73.576
1,40.621,73.556,73.556,73.556,73.556,73.556,73.556,0,73.556
1,40.67,73.537,73.537,73.537,73.537,73.537,73.537,0,73.537
1,40.719,73.519,73.519,73.519,73.519,73.519,73.519,0,73.519
1,40.768,73.501,73.501,73.501,73.501,73.501,73.501,0,73.501
1,40.817,73.484,73.484,73.484,73.484,73.484,73.484,0,73.484
1,40.866,73.467,73.467,73.467,73.467,73.467,73.467,0,73.467
1,40.915,73.451,73.451,73.451,73.451,73.451,73.451,0,73.451
1,40.964,73.434,73.434,73.434,73.434,73.434,73.434,0,73.434
1,41.013,73.418,73.418,73.418,73.418,73.418,73.418,0,73.418
1,41.062,73.403,73.403,73.403,73.403,73.403,73.403,0,73.403
1,41.111,73.386,73.386,73.386,73.386,73.386,73.386,0,73.386
1,41.16,73.371,73.371,73.371,73.371,73.371,73.371,0,73.371
1,41.209,73.356,73.356,73.356,73.356,73.356,73.356,0,73.356
1,41.258,73.326,73.326,73.326,73.326,73.326,73.326,0,73.326
1,41.307,73.307,73.307,73.307,73.307,73.307,73.307,0,73.307
1,41.356,73.289,73.289,73.289,73.289,73.289,73.289,0,73.289
1,41.405,73.273,73.273,73.273,73.273,73.273,73.273,0,73.273
1,41.454,73.259,73.259,73.259,73.259,73.259,73.259,0,73.259
1,41.503,75.789,75.789,75.789,75.789,75.789,75.789,0,75.789
1,41.552,75.546,75.546,75.546,75.546,75.546,75.546,0,75.546
1,41.601,75.331,75.331,75.331,75.331,75.331,75.331,0,75.331
1,41.65,75.139,75.139,75.139,75.139,75.139,75.139,0,75.139
1,41.699,74.97,74.97,74.97,74.97,74.97,74.97,0,74.97
1,41.748,74.819,74.819,74.819,74.819,74.819,74.819,0,74.819
1,41.797,74.685,74.685,74.685,74.685,74.685,74.685,0,74.685
1,41.846,74.564,74.564,74.564,74.564,74.564,74.564,0,74.564
1,41.895,74.453,74.453,74.453,74.453,74.453,74.453,0,74.453
1,41.944,74.356,74.356,74.356,74.356,74.356,74.356,0,74.356
1,41.993,74.267,74.267,74.267,74.267,74.267,74.267,0,74.267
1,42.042,74.187,74.187,74.187,74.187,74.187,74.187,0,74.187
1,42.091,74.113,74.113,74.113,74.113,74.113,74.113,0,74.113
1,42.14,74.043,74.043,74.043,74.043,74.043,74.043,0,74.043
1,42.189,73.981,73.981,73.981,73.981,73.981,73.981,0,73.981
1,42.238,73.924,73.924,73.924,73.924,73.924,73.924,0,73.924
1,42.287,77.121,77.121,77.121,77.121,77.121,77.121,0,77.121
1,42.336,76.778,76.778,76.778,76.778,76.778,76.778,0,76.778
1,42.385,76.473,76.473,76.473,76.473,76.473,76.473,0,76.473
1,42.434,76.2,76.2,76.2,76.2,76.2,76.2,0,76.2
1,42.483,75.956,75.956,75.956,75.956,75.956,75.956,0,75.956
1,42.532,75.737,75.737,75.737,75.737,75.737,75.737,0,75.737
1,42.581,75.539,75.539,75.539,75.539,75.539,75.539,0,75.539
1,42.63,75.361,75.361,75.361,75.361,75.361,75.361,0,75.361
1,42.679,75.11,75.11,75.11,75.11,75.11,75.11,0,75.11
1,42.728,74.978,74.978,74.978,74.978,74.978,74.978,0,74.978
1,42.777,74.857,74.857,74.857,74.857,74.857,74.857,0,74.857
1,42.826,74.747,74.747,74.747,74.747,74.747,74.747,0,74.747
1,42.875,74.647,74.647,74.647,74.647,74.647,74.647,0,74.647
1,42.924,74.557,74.557,74.557,74.557,74.557,74.557,0,74.557
1,42.973,74.472,74.472,74.472,74.472,74.472,74.472,0,74.472
1,43.022,74.392,74.392,74.392,74.392,74.392,74.392,0,74.392
1,43.071,77.193,77.193,77.193,77.193,77.193,77.193,0,77.193
1,43.12,76.865,76.865,76.865,76.865,76.865,76.865,0,76.865
1,43.169,76.572,76.572,76.572,76.572,76.572,76.572,0,76.572
1,43.218,76.31,76.31,76.31,76.31,76.31,76.31,0,76.31
1,43.267,76.075,76.075,76.075,76.075,76.075,76.075,0,76.075
1,43.316,75.864,75.864,75.864,75.864,75.864,75.864,0,75.864
1,43.365,75.672,75.672,75.672,75.672,75.672,75.672,0,75.672
1,43.414,75.498,75.498,75.498,75.498,75.498,75.498,0,75.498
1,43.463,75.262,75.262,75.262,75.262,75.262,75.262,0,75.262
1,43.512,75.128,75.128,75.128,75.128,75.128,75.128,0,75.128
1,43.561,75.006,75.006,75.006,75.006,75.006,75.006,0,75.006
1,43.61,74.895,74.895,74.895,74.895,74.895,74.895,0,74.895
1,43.659,74.792,74.792,74.792,74.792,74.792,74.792,0,74.792
1,43.708,74.705,74.705,74.705,74.705,74.705,74.705,0,74.705
1,43.757,74.617,74.617,74.617,74.617,74.617,74.617,0,74.617
1,43.806,74.536,74.536,74.536,74.536,74.536,74.536,0,74.536
1,43.855,74.46,74.46,74.46,74.46,74.46,74.46,0,74.46
1,43.904,74.39,74.39,74.39,74.39,74.39,74.39,0,74.39
1,43.953,74.324,74.324,74.324,74.324,74.324,74.324,0,74.324
1,44.002,74.263,74.263,74.263,74.263,74.263,74.263,0,74.263
1,44.051,74.206,74.206,74.206,74.206,74.206,74.206,0,74.206
1,44.1,76.532,76.532,76.532,76.532,76.532,76.532,0,76.532
1,44.149,76.267,76.267,76.267,76.267,76.267,76.267,0,76.267
1,44.198,76.029,76.029,76.029,76.029,76.029,76.029,0,76.029
1,44.247,75.827,75.827,75.827,75.827,75.827,75.827,0,75.827
1,44.296,75.63,75.63,75.63,75.63,75.63,75.63,0,75.63
1,44.345,75.453,75.453,75.453,75.453,75.453,75.453,0,75.453
1,44.394,75.294,75.294,75.294,75.294,75.294,75.294,0,75.294
1,44.443,75.15,75.15,75.15,75.15,75.15,75.15,0,75.15
1,44.492,74.955,74.955,74.955,74.955,74.955,74.955,0,74.955
1,44.541,74.846,74.846,74.846,74.846,74.846,74.846,0,74.846
1,44.59,74.746,74.746,74.746,74.746,74.746,74.746,0,74.746
1,44.639,74.658,74.658,74.658,74.658,74.658,74.658,0,74.658
1,44.688,74.573,74.573,74.573,74.573,74.573,74.573,0,74.573
1,44.737,74.495,74.495,74.495,74.495,74.495,74.495,0,74.495
1,44.786,74.422,74.422,74.422,74.422,74.422,74.422,0,74.422
1,44.835,74.354,74.354,74.354,74.354,74.354,74.354,0,74.354
1,44.884,76.295,76.295,76.295,76.295,76.295,76.295,0,76.295
1,44.933,76.054,76.054,76.054,76.054,76.054,76.054,0,76.054
1,44.982,75.838,75.838,75.838,75.838,75.838,75.838,0,75.838
1,45.031,75.646,75.646,75.646,75.646,75.646,75.646,0,75.646
1,45.08,75.47,75.47,75.47,75.47,75.47,75.47,0,75.47
1,45.129,75.312,75.312,75.312,75.312,75.312,75.312,0,75.312
1,45.178,75.168,75.168,75.168,75.168,75.168,75.168,0,75.168
1,45.227,75.037,75.037,75.037,75.037,75.037,75.037,0,75.037
1,45.276,74.863,74.863,74.863,74.863,74.863,74.863,0,74.863
1,45.325,74.761,74.761,74.761,74.761,74.761,74.761,0,74.761
1,45.374,74.668,74.668,74.668,74.668,74.668,74.668,0,74.668
1,45.423,74.582,74.582,74.582,74.582,74.582,74.582,0,74.582
1,45.472,74.503,74.503,74.503,74.503,74.503,74.503,0,74.503
1,45.521,74.429,74.429,74.429,74.429,74.429,74.429,0,74.429
1,45.57,74.361,74.361,74.361,74.361,74.361,74.361,0,74.361
1,45.619,74.298,74.298,74.298,74.298,74.298,74.298,0,74.298
1,45.668,74.239,74.239,74.239,74.239,74.239,74.239,0,74.239
1,45.717,74.184,74.184,74.184,74.184,74.184,74.184,0,74.184
1,45.766,74.131,74.131,74.131,74.131,74.131,74.131,0,74.131
1,45.815,74.082,74.082,74.082,74.082,74.082,74.082,0,74.082
1,45.864,74.035,74.035,74.035,74.035,74.035,74.035,0,74.035
1,45.913,73.992,73.992,73.992,73.992,73.992,73.992,0,73.992
1,45.962,73.95,73.95,73.95,73.95,73.95,73.95,0,73.95
1,46.011,73.91,73.91,73.91,73.91,73.91,73.91,0,73.91
1,46.06,74.884,74.884,74.884,74.884,74.884,74.884,0,74.884
1,46.109,74.756,74.756,74.756,74.756,74.756,74.756,0,74.756
1,46.158,74.64,74.64,74.64,74.64,74.64,74.64,0,74.64
1,46.207,74.536,74.536,74.536,74.536,74.536,74.536,0,74.536
1,46.256,74.441,74.441,74.441,74.441,74.441,74.441,0,74.441
1,46.305,74.35,74.35,74.35,74.35,74.35,74.35,0,74.35
1,46.354,74.27,74.27,74.27,74.27,74.27,74.27,0,74.27
1,46.403,74.197,74.197,74.197,74.197,74.197,74.197,0,74.197
1,46.452,74.13,74.13,74.13,74.13,74.13,74.13,0,74.13
1,46.501,74.069,74.069,74.069,74.069,74.069,74.069,0,74.069
1,46.55,74.013,74.013,74.013,74.013,74.013,74.013,0,74.013
1,46.599,73.961,73.961,73.961,73.961,73.961,73.961,0,73.961
1,46.648,73.913,73.913,73.913,73.913,73.913,73.913,0,73.913
1,46.697,73.838,73.838,73.838,73.838,73.838,73.838,0,73.838
1,46.746,73.803,73.803,73.803,73.803,73.803,73.803,0,73.803
1,46.795,73.77,73.77,73.77,73.77,73.77,73.77,0,73.77
1,46.844,73.738,73.738,73.738,73.738,73.738,73.738,0,73.738
1,46.893,73.707,73.707,73.707,73.707,73.707,73.707,0,73.707
1,46.942,73.677,73.677,73.677,73.677,73.677,73.677,0,73.677
1,46.991,73.649,73.649,73.649,73.649,73.649,73.649,0,73.649
1,47.04,73.621,73.621,73.621,73.621,73.621,73.621,0,73.621
1,47.089,73.594,73.594,73.594,73.594,73.594,73.594,0,73.594
1,47.138,73.568,73.568,73.568,73.568,73.568,73.568,0,73.568
1,47.187,73.543,73.543,73.543,73.543,73.543,73.543,0,73.543
1,47.236,73.497,73.497,73.497,73.497,73.497,73.497,0,73.497
1,47.285,73.479,73.479,73.479,73.479,73.479,73.479,0,73.479
1,47.334,73.461,73.461,73.461,73.461,73.461,73.461,0,73.461
1,47.383,73.443,73.443,73.443,73.443,73.443,73.443,0,73.443
1,47.432,73.425,73.425,73.425,73.425,73.425,73.425,0,73.425
1,47.481,73.407,73.407,73.407,73.407,73.407,73.407,0,73.407
1,47.53,73.389,73.389,73.389,73.389,73.389,73.389,0,73.389
1,47.579,73.371,73.371,73.371,73.371,73.371,73.371,0,73.371
1,47.628,73.352,73.352,73.352,73.352,73.352,73.352,0,73.352
1,47.677,73.333,73.333,73.333,73.333,73.333,73.333,0,73.333
1,47.726,73.316,73.316,73.316,73.316,73.316,73.316,0,73.316
1,47.775,73.299,73.299,73.299,73.299,73.299,73.299,0,73.299
1,47.824,73.282,73.282,73.282,73.282,73.282,73.282,0,73.282
1,47.873,73.212,73.212,73.212,73.212,73.212,73.212,0,73.212
1,47.922,73.211,73.211,73.211,73.211,73.211,73.211,0,73.211
1,47.971,73.209,73.209,73.209,73.209,73.209,73.209,0,73.209
1,48.02,73.204,73.204,73.204,73.204,73.204,73.204,0,73.204
1,48.069,73.198,73.198,73.198,73.198,73.198,73.198,0,73.198
1,48.118,73.191,73.191,73.191,73.191,73.191,73.191,0,73.191
1,48.167,73.183,73.183,73.183,73.183,73.183,73.183,0,73.183
1,48.216,73.174,73.174,73.174,73.174,73.174,73.174,0,73.174
1,48.265,73.164,73.164,73.164,73.164,73.164,73.164,0,73.164
1,48.314,73.155,73.155,73.155,73.155,73.155,73.155,0,73.155
1,48.363,73.144,73.144,73.144,73.144,73.144,73.144,0,73.144
1,48.412,73.133,73.133,73.133,73.133,73.133,73.133,0,73.133
1,48.461,73.123,73.123,73.123,73.123,73.123,73.123,0,73.123
1,48.51,73.112,73.112,73.112,73.112,73.112,73.112,0,73.112
1,48.559,73.1,73.1,73.1,73.1,73.1,73.1,0,73.1
1,48.608,73.089,73.089,73.089,73.089,73.089,73.089,0,73.089
1,48.657,73.078,73.078,73.078,73.078,73.078,73.078,0,73.078
1,48.706,73.066,73.066,73.066,73.066,73.066,73.066,0,73.066
1,48.755,73.055,73.055,73.055,73.055,73.055,73.055,0,73.055
1,48.804,73.043,73.043,73.043,73.043,73.043,73.043,0,73.043
1,48.853,73.032,73.032,73.032,73.032,73.032,73.032,0,73.032
1,48.902,73.02,73.02,73.02,73.02,73.02,73.02,0,73.02
1,48.951,73.009,73.009,73.009,73.009,73.009,73.009,0,73.009
1,49,72.997,72.997,72.997,72.997,72.997,72.997,0,72.997
